Symbol,Type,Open Date,Open,Closed Date,Closed,TP,Sl,Lots,Commission,Profit
GBPJPY,Buy,"Jul 22, 2025 2:50 PM",198.967,"Jul 22, 2025 2:55 PM",199.01,199.013,,0.61,-3.05,+$14.73
GBPUSD,Sell,"Jul 21, 2025 7:51 PM",1.34824,"Jul 21, 2025 7:56 PM",1.34871,,,0.16,-0.8,-$8.32
GBPUSD,Buy,"Jul 17, 2025 5:20 PM",1.33876,"Jul 21, 2025 7:47 PM",1.34898,1.34953,1.33724,0.17,-0.85,+$171.91
GBPUSD,Buy,"Jul 17, 2025 5:20 PM",1.33874,"Jul 21, 2025 7:47 PM",1.34898,1.34953,1.33724,0.16,-0.8,+$162.12
EURUSD,Sell,"Jul 10, 2025 5:41 AM",1.17465,"Jul 15, 2025 7:06 PM",1.1643,1.16433,1.17677,0.12,-0.6,+$124.98
EURUSD,Sell,"Jul 10, 2025 5:41 AM",1.17464,"Jul 15, 2025 7:06 PM",1.1643,1.16433,1.17677,0.12,-0.6,+$124.86
XAUUSD,Sell,"Jul 11, 2025 4:04 AM",3324.94,"Jul 11, 2025 6:01 AM",3330.26,3299.19,3330.27,0.08,-0.4,-$42.96
AUDUSD,Sell,"Jul 10, 2025 8:31 PM",0.6559,"Jul 10, 2025 9:11 PM",0.65675,,0.65667,0.32,-1.6,-$28.80
AUDUSD,Sell,"Jul 10, 2025 8:31 PM",0.6559,"Jul 10, 2025 9:11 PM",0.65675,,0.65668,0.26,-1.3,-$23.40
EURGBP,Buy,"Jul 9, 2025 10:08 PM",0.8617,"Jul 10, 2025 8:23 PM",0.86169,,0.8617,0.32,-1.6,-$11.08
EURJPY,Sell,"Jul 3, 2025 1:07 PM",169.727,"Jul 3, 2025 1:10 PM",169.788,,169.787,1.2,-6.0,-$56.90
EURJPY,Buy,"Jun 30, 2025 1:00 PM",168.843,"Jun 30, 2025 1:32 PM",168.854,,168.697,0.24,-1.2,+$0.63
EURJPY,Buy,"Jun 30, 2025 1:00 PM",168.843,"Jun 30, 2025 1:32 PM",168.836,,168.697,0.24,-1.2,-$2.37
EURJPY,Buy,"Jun 26, 2025 1:59 PM",168.727,"Jun 27, 2025 2:41 AM",168.733,169.544,168.728,0.4,-2.0,-$0.84
GBPUSD,Buy,"Jun 17, 2025 2:56 PM",1.35487,"Jun 17, 2025 7:11 PM",1.35458,1.36333,1.35331,0.3,-1.5,-$10.20
USDCAD,Buy,"Jun 10, 2025 6:07 PM",1.36897,"Jun 10, 2025 7:27 PM",1.36742,,1.36743,0.25,-1.25,-$29.59
USDCAD,Buy,"Jun 10, 2025 6:07 PM",1.36897,"Jun 10, 2025 7:27 PM",1.36742,,1.36743,0.25,-1.25,-$29.59
USDJPY,Buy,"Jun 9, 2025 12:48 PM",144.289,"Jun 9, 2025 12:53 PM",144.192,,144.194,0.7,-3.5,-$50.59
USDCAD,Sell,"Jun 6, 2025 7:08 PM",1.36807,"Jun 6, 2025 7:09 PM",1.36852,1.35931,1.3723,0.3,-1.5,-$11.37
USDCAD,Sell,"Jun 3, 2025 9:27 PM",1.37241,"Jun 6, 2025 7:08 PM",1.36857,1.35931,1.3723,0.3,-1.5,+$73.40
USDCAD,Sell,"Jun 5, 2025 1:15 PM",1.36667,"Jun 5, 2025 9:10 PM",1.36675,,1.36667,0.6,-3.0,-$6.51
USDCAD,Sell,"Jun 3, 2025 9:27 PM",1.3723,"Jun 4, 2025 8:02 PM",1.36745,1.3674,1.37239,0.3,-1.5,+$103.05
AUDUSD,Buy,"May 30, 2025 7:34 AM",0.64264,"May 30, 2025 12:38 PM",0.64142,0.6479,0.64148,0.46,-2.3,-$58.42
